appetency,a longing or desire
darbies,handcuffs
methinks,it seems to me
glebe,a meadow
potation,a beverage
pollard,an animal that has lost its horns or cast its antlers
fare,travel
troth,faith or loyalty when pledged in a solemn undertaking
drought,thirst
plain over,lament; cry over
mazed,bewildered
condition,social position
iron horse,a steam locomotive
herbary,a herb garden
contemn,treat or regard with contempt
scot,a tax-like payment
apothecary,a person who prepared and sold medicine
tweeny,a maid who assisted both the cook and the housemaid
tithe,a tenth
inscribe,enter the name of (someone) on a list
cispontine,on the north side of the Thames in London
greenwood,a forest
speed,success; prosperity
yclept,by the name of
nubbing- cheat,a gallows
avaunt,go away
paynim,a pagan
behoof,benefit or advantage
accouchement,birthing
overbrim,spill; overflow
fainéant,an idle or ineffective person
grimalkin,a cat
breech,a person's buttocks
let,hinder
kine,cows collectively
kickshaw,a fancy but insubstantial cooked dish
fane,a shrine or temple
hereat,as a result of this
learn,teach
indite,write; compose
trigon,a triangle
embarrass,hamper or impede
scantling,"a specimen, sample, or small amount"
espousal,a marriage or engagement
man-at-arms,a soldier
gadzooks,an expression of surprise or annoyance
caboose,a kitchen on a ship's deck
collogue,talk confidentially
discover,divulge (a secret)
goody,(with a name) an elderly woman of humble position
freak,a whim
host,an army
dandiprat,a young or insignificant person
forsooth,indeed
wise,"manner, way, or extent"
skirt,"an edge, border, or extreme part"
turnkey,a jailer
furbish,polish (a weapon)
nithing,a contemptible or despicable person
numbles,a deer's entrails as food
riband,a ribbon
immedicable,untreatable
frore,frozen or frosty
purblind,short-sighted
lying-in,seclusion before and after childbirth
quidnunc,"an inquisitive, gossipy person"
gage,a valued object deposited as a guarantee
usher,an assistant teacher
doit,a very small amount of money
science,knowledge
strumpet,a female prostitute or a promiscuous woman
izzard,the letter Z
tilt with,engage in a contest with
garth,a yard or garden
overleap,jump over or across
con,study attentively or learn by heart (a piece of writing)
peeler,a police officer
mayhap,perhaps; possibly
'tween,between
scruple,"a very small amount of something, especially a quality"
howbeit,nevertheless
neat,a bovine animal or animals
reduce,besiege and capture (a town or fortress)
rack,(of a cloud) be driven by the wind
statuary,a sculptor
husbandman,a farmer
swash,flamboyantly swagger about or wield a sword
whence,from what place or source
degree,social or official rank
estate,"a particular state, period, or condition in life"
piepowder,a traveller or an itinerant merchant or trader
scullion,a menial servant
stoup,"a container for drinking beer, etc.; a flagon"
asunder,apart
gentle,noble or courteous
fizgig,a silly or flirtatious young woman
prithee,please
peregrinate,travel or wander from place to place
dot,a dowry from which only the interest or annual income was available to the husband
tope,drink to excess
yoke,the amount of land that one pair of oxen could plough in a day
pore on,think about
yea,yes
Lucifer,a match
poltroon,an utter coward
spence,a pantry or larder
periapt,a charm or amulet
varlet,an unprincipled rogue
bruit,a report or rumour
suffer,endure; tolerate
crinkum-crankum,elaborate decoration or detail
slugabed,a lazy person who stays in bed late
jakes,an outdoor toilet
waits,street singers of Christmas carols
white goods,domestic linen
quaggy,marshy or boggy
posy,a short motto or line of verse inscribed inside a ring
verse,a line of poetry
peccant,sinful; offending
slay,kill in a violent way
profess,teach (a subject) as a professor
thither,to or toward that place
contumely,insolent or insulting language or treatment
fourscore,eighty
latchet,a narrow thong or lace for fastening a shoe or sandal
hoar,frost
ruth,"a feeling of pity, distress, or grief"
sanative,healing
scold,a woman who nags or grumbles constantly
baseborn,of low birth or social standing
go-cart,a baby walker
habiliment,clothing
doxy,a lover or mistress
raiment,clothing
caducity,the infirmity of old age; senility
pythoness,a woman believed to be possessed by a spirit and to be able to foresee the future
coz,cousin
wonted,usual
guerdon,a reward
naught,nothing
measure,a dance
very,real; genuine
sea smoke,fog
sepulture,burial
dame,an elderly or mature woman
commons,provisions shared in common; rations
ague,malaria or a similar illness
natural,a person born with impaired intelligence
dight,clothed or equipped
physic,medicinal drugs or medical treatment
corse,a corpse
leech,a doctor or healer
steed,a horse
abroad,out of doors
forfend,avert or prevent (something evil or unpleasant)
like enough,probably
whereat,at which
purfle,an ornamental or embroidered edge of a garment
zounds,an expression of surprise or indignation
scaramouch,a boastful but cowardly person
yonder,over there
repair,an abode or haunt
noise (something) about,talk about or make known publicly
communicant,a person who imparts information
levy,a body of enlisted troops
watchword,a military password
scurvy,worthless or contemptible
soil,a stain
conjure,implore (someone) to do something
tocsin,an alarm bell or signal
camelopard,a giraffe
beldam,an old woman
up to snuff,up to the required standard
disport,frolic
picaroon,a scoundrel
wait on/upon,pay a respectful visit to
tantivy,a rapid gallop or ride
cannonade,bombard
cully,a friendly form of address for a man
compass,encircle or surround
melodist,a singer
ye,you
success,a good or bad outcome
dark,ignorant
wench,a girl or young woman
ween,think or suppose; be of the opinion
degrade,"reduce to a lower rank, especially as a punishment"
taiga,a forest
chapman,a peddler
portage,the action of carrying or transporting
remit,diminish
kirtle,a woman's gown or a man's tunic
fudge,nonsense
rapscallion,a mischievous person
pismire,an ant
thereunto,to that
embouchure,the mouth of a river
quality,high social standing
expiry,death
wight,a person of a specified kind
soak,drink heavily
wife,"a woman, especially an old or uneducated one"
goodly,"attractive, excellent, or virtuous"
fie,exclamation used to express disgust or outrage
unhand,release from one's grasp
advertisement,a notice to readers in a book
whither,to what place or state
hereupon,after or as a result of this
crookback,a person with a hunchback
withal,in addition
small beer,weak beer
cadet,a younger son or daughter
saturnism,lead poisoning
tapster,a person who serves at a bar
marry,"an expression of surprise, indignation, or emphatic assertion"
hence,from here
corrupt,rotten or putrid
wherefore,for what reason
glim,a candle
magnify,glorify; extol
whilom,formerly
fair,beautiful
"surety, of/for a",for certain
cottier,a rural labourer living in a cottage
nigh,near
clew,a ball of thread
circumjacent,surrounding
nay,no
job,turn a public office or a position of trust to private advantage
demit,resign from (an office or position)
demesne,a region or domain
clout,a piece of cloth or clothing
demoralize,corrupt the morals of
rede,advice or counsel
sore,extremely; severely
cutpurse,a pickpocket
rude,ignorant and uneducated
knave,a dishonest or unscrupulous man
silly,helpless; defenceless
visionary,existing only in the imagination
shambles,a slaughterhouse
shrive,(of a priest) absolve (a person making a confession)
wain,a wagon or cart
meat,food of any kind
grateful,received with gratitude
levant,abscond leaving unpaid debts
expectations,one's prospects of inheritance
pate,a person's head
bodkin,a dagger
quoth,said (in I/he/she quoth)
champaign,open level countryside
bridewell,a prison or reform school for petty offenders
magdalen,a reformed prostitute
handmaid,a female servant
timbrel,a tambourine or similar instrument
